,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Inter Milan,Serie A,€97.20m,40,€109.10m,43,€11.90m
1,Genoa CFC,Serie A,€78.99m,61,€69.75m,54,€-9.24m
2,Juventus FC,Serie A,€59.30m,29,€14.30m,28,€-45.00m
3,SSC Napoli,Serie A,€55.15m,17,€4.75m,22,€-50.40m
4,ACF Fiorentina,Serie A,€38.45m,31,€45.00m,30,€6.55m
5,SS Lazio,Serie A,€31.20m,31,€13.20m,25,€-18.00m
6,Parma FC,Serie A,€27.47m,42,€30.98m,42,€3.50m
7,AC Milan,Serie A,€22.10m,22,€80.66m,23,€58.56m
8,Calcio Catania,Serie A,€21.50m,37,€1.15m,32,€-20.35m
9,AS Bari,Serie A,€19.14m,45,€1.79m,40,€-17.34m
10,Udinese Calcio,Serie A,€18.33m,55,€36.40m,51,€18.07m
11,AC Siena,Serie A,€17.40m,43,€27.20m,44,€9.80m
12,US Palermo,Serie A,€17.30m,35,€12.79m,32,€-4.51m
13,Cagliari Calcio,Serie A,€12.75m,16,€1.05m,14,€-11.70m
14,Atalanta BC,Serie A,€11.50m,33,€22.22m,32,€10.72m
15,Bologna FC 1909,Serie A,€10.49m,24,€6.20m,24,€-4.29m
16,UC Sampdoria,Serie A,€8.96m,40,€19.60m,39,€10.64m
17,AS Roma,Serie A,€3.50m,28,€22.08m,32,€18.58m
18,AS Livorno,Serie A,€2.87m,27,€7.70m,22,€4.83m
19,Chievo Verona,Serie A,€2.30m,36,€4.40m,38,€2.10m
