,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Inter Milan,Serie A,€76.55m,47,€65.80m,44,€-10.75m
1,Juventus FC,Serie A,€72.80m,47,€23.30m,43,€-49.50m
2,AC Milan,Serie A,€59.60m,44,€88.50m,53,€28.90m
3,AS Roma,Serie A,€44.17m,46,€21.56m,45,€-22.60m
4,ACF Fiorentina,Serie A,€41.67m,38,€33.40m,39,€-8.27m
5,Udinese Calcio,Serie A,€31.40m,52,€60.95m,57,€29.55m
6,SSC Napoli,Serie A,€31.05m,29,€34.85m,28,€3.80m
7,Parma FC,Serie A,€29.95m,110,€25.25m,105,€-4.70m
8,Genoa CFC,Serie A,€26.93m,74,€79.75m,72,€52.82m
9,US Palermo,Serie A,€26.00m,43,€25.08m,44,€-925k
10,Torino FC,Serie A,€24.98m,29,€4.38m,32,€-20.60m
11,UC Sampdoria,Serie A,€21.00m,48,€6.20m,47,€-14.80m
12,Atalanta BC,Serie A,€19.35m,31,€18.45m,30,€-900k
13,Delfino Pescara 1936,Serie A,€18.98m,42,€15.50m,37,€-3.48m
14,Chievo Verona,Serie A,€11.80m,54,€13.13m,54,€1.33m
15,Cagliari Calcio,Serie A,€11.60m,22,€2.70m,23,€-8.90m
16,AC Siena,Serie A,€11.42m,66,€27.56m,65,€16.13m
17,Bologna FC 1909,Serie A,€10.29m,32,€18.05m,33,€7.76m
18,Calcio Catania,Serie A,€9.03m,33,€3.28m,36,€-5.75m
19,SS Lazio,Serie A,€1.53m,28,€950k,28,€-580k
