,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,AS Roma,Serie A,€101.41m,47,€41.60m,44,€-59.81m
1,Juventus FC,Serie A,€55.10m,62,€25.91m,61,€-29.19m
2,SSC Napoli,Serie A,€34.80m,40,€20.45m,39,€-14.35m
3,Udinese Calcio,Serie A,€29.20m,54,€25.40m,59,€-3.80m
4,UC Sampdoria,Serie A,€24.35m,57,€26.52m,52,€2.17m
5,Torino FC,Serie A,€23.20m,38,€33.86m,40,€10.66m
6,Cagliari Calcio,Serie A,€22.60m,29,€21.93m,28,€-675k
7,Hellas Verona,Serie A,€22.26m,59,€31.25m,57,€8.99m
8,Parma FC,Serie A,€19.74m,218,€18.70m,215,€-1.04m
9,US Palermo,Serie A,€19.70m,41,€18.50m,41,€-1.20m
10,US Sassuolo,Serie A,€19.30m,29,€12.60m,31,€-6.70m
11,Inter Milan,Serie A,€16.95m,57,€23.60m,53,€6.65m
12,AC Milan,Serie A,€16.90m,61,€28.20m,60,€11.30m
13,SS Lazio,Serie A,€12.75m,33,€150k,32,€-12.60m
14,Atalanta BC,Serie A,€11.09m,49,€20.00m,54,€8.91m
15,AC Cesena,Serie A,€9.85m,54,€14.65m,56,€4.80m
16,ACF Fiorentina,Serie A,€9.10m,39,€38.00m,36,€28.90m
17,Chievo Verona,Serie A,€8.60m,74,€5.04m,76,€-3.56m
18,Genoa CFC,Serie A,€7.45m,57,€25.95m,60,€18.50m
19,FC Empoli,Serie A,€1.41m,33,€358k,34,€-1.05m
