,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Inter Milan,Serie A,€75.10m,34,€10.18m,32,€-64.92m
1,AC Milan,Serie A,€73.88m,35,€47.95m,35,€-25.93m
2,US Palermo,Serie A,€57.30m,31,€63.95m,29,€6.65m
3,Genoa CFC,Serie A,€55.91m,39,€40.35m,42,€-15.56m
4,ACF Fiorentina,Serie A,€49.20m,22,€18.32m,24,€-30.88m
5,Juventus FC,Serie A,€40.50m,35,€31.80m,36,€-8.70m
6,UC Sampdoria,Serie A,€38.24m,35,€10.80m,38,€-27.44m
7,AS Roma,Serie A,€32.55m,38,€18.00m,34,€-14.55m
8,SSC Napoli,Serie A,€30.80m,18,€10.65m,19,€-20.15m
9,SS Lazio,Serie A,€24.55m,24,€12.70m,25,€-11.85m
10,Bologna FC 1909,Serie A,€24.40m,20,€6.40m,16,€-18.00m
11,Torino FC,Serie A,€22.20m,18,€11.40m,19,€-10.80m
12,Udinese Calcio,Serie A,€20.10m,49,€35.50m,52,€15.40m
13,Cagliari Calcio,Serie A,€19.01m,17,€6.15m,22,€-12.86m
14,AC Siena,Serie A,€16.40m,36,€9.35m,35,€-7.05m
15,Atalanta BC,Serie A,€16.05m,30,€16.70m,30,€650k
16,US Lecce,Serie A,€9.10m,25,€2.45m,28,€-6.65m
17,Reggina Calcio,Serie A,€7.35m,33,€10.18m,33,€2.83m
18,Calcio Catania,Serie A,€5.50m,23,€12.30m,22,€6.80m
19,Chievo Verona,Serie A,€3.50m,32,€1.60m,28,€-1.90m
