,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,SSC Napoli,Serie A,€107.45m,40,€74.20m,39,€-33.25m
1,AS Roma,Serie A,€75.39m,44,€120.39m,48,€45.00m
2,Inter Milan,Serie A,€61.64m,39,€11.00m,42,€-50.64m
3,ACF Fiorentina,Serie A,€53.30m,31,€41.00m,32,€-12.30m
4,Juventus FC,Serie A,€49.50m,42,€69.09m,46,€19.59m
5,US Sassuolo,Serie A,€46.50m,36,€5.00m,29,€-41.50m
6,AC Milan,Serie A,€43.13m,50,€17.40m,48,€-25.73m
7,Udinese Calcio,Serie A,€26.86m,59,€49.70m,54,€22.84m
8,SS Lazio,Serie A,€26.83m,27,€28.45m,26,€1.62m
9,Genoa CFC,Serie A,€23.44m,66,€30.23m,65,€6.80m
10,Torino FC,Serie A,€20.25m,27,€21.84m,27,€1.59m
11,UC Sampdoria,Serie A,€19.60m,49,€25.45m,55,€5.85m
12,Parma FC,Serie A,€13.68m,233,€35.47m,233,€21.79m
13,Atalanta BC,Serie A,€11.33m,39,€6.20m,39,€-5.13m
14,Calcio Catania,Serie A,€8.37m,41,€11.09m,40,€2.72m
15,Hellas Verona,Serie A,€8.10m,49,€9.50m,48,€1.40m
16,Bologna FC 1909,Serie A,€6.59m,44,€18.00m,47,€11.41m
17,AS Livorno,Serie A,€4.82m,34,€1.80m,33,€-3.02m
18,Chievo Verona,Serie A,€3.90m,61,€5.86m,65,€1.96m
19,Cagliari Calcio,Serie A,€1.80m,20,€7.30m,19,€5.50m
