,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Juventus FC,Serie A,€101.83m,45,€20.70m,50,€-81.13m
1,AS Roma,Serie A,€91.25m,34,€26.13m,32,€-65.12m
2,SSC Napoli,Serie A,€72.70m,35,€23.79m,40,€-48.91m
3,AC Milan,Serie A,€65.15m,48,€22.30m,43,€-42.85m
4,Genoa CFC,Serie A,€53.13m,70,€81.95m,71,€28.81m
5,US Palermo,Serie A,€46.03m,49,€69.65m,48,€23.63m
6,Inter Milan,Serie A,€41.70m,37,€55.95m,37,€14.25m
7,SS Lazio,Serie A,€22.84m,25,€26.38m,25,€3.54m
8,Udinese Calcio,Serie A,€22.41m,63,€70.63m,62,€48.22m
9,Bologna FC 1909,Serie A,€20.78m,27,€21.10m,24,€318k
10,ACF Fiorentina,Serie A,€20.14m,36,€20.11m,35,€-23k
11,Atalanta BC,Serie A,€15.00m,29,€11.90m,31,€-3.10m
12,AC Siena,Serie A,€14.33m,54,€3.43m,54,€-10.90m
13,Parma FC,Serie A,€12.36m,69,€31.50m,70,€19.15m
14,Chievo Verona,Serie A,€11.45m,60,€13.24m,56,€1.79m
15,AC Cesena,Serie A,€10.47m,55,€12.25m,54,€1.78m
16,Cagliari Calcio,Serie A,€8.20m,21,€25.70m,17,€17.50m
17,Novara Calcio 1908,Serie A,€5.65m,28,€2.14m,27,€-3.51m
18,Calcio Catania,Serie A,€4.14m,24,€13.08m,25,€8.94m
19,US Lecce,Serie A,€1.40m,29,€7.57m,26,€6.17m
