,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Juventus FC,Serie A,€153.50m,82,€81.28m,83,€-72.22m
1,Inter Milan,Serie A,€102.45m,60,€115.32m,72,€12.87m
2,AC Milan,Serie A,€102.28m,51,€11.16m,57,€-91.12m
3,AS Roma,Serie A,€60.85m,61,€102.25m,61,€41.40m
4,SSC Napoli,Serie A,€42.70m,34,€18.29m,36,€-24.41m
5,UC Sampdoria,Serie A,€34.67m,59,€16.82m,59,€-17.85m
6,SS Lazio,Serie A,€31.25m,35,€2.37m,37,€-28.88m
7,US Sassuolo,Serie A,€30.70m,21,€25.00m,28,€-5.70m
8,Torino FC,Serie A,€28.05m,42,€19.75m,43,€-8.30m
9,Atalanta BC,Serie A,€26.68m,74,€37.95m,73,€11.27m
10,Bologna FC 1909,Serie A,€26.63m,45,€800k,45,€-25.83m
11,ACF Fiorentina,Serie A,€24.40m,43,€26.85m,52,€2.45m
12,Udinese Calcio,Serie A,€21.42m,62,€74.12m,62,€52.70m
13,Genoa CFC,Serie A,€16.70m,51,€43.15m,50,€26.45m
14,US Palermo,Serie A,€12.25m,41,€52.90m,41,€40.65m
15,FC Empoli,Serie A,€6.35m,33,€11.50m,33,€5.15m
16,Hellas Verona,Serie A,€6.30m,49,€2.05m,54,€-4.25m
17,Chievo Verona,Serie A,€6.13m,71,€15.40m,71,€9.27m
18,Frosinone Calcio,Serie A,€400k,22,€200k,23,€-200k
19,Carpi FC 1909,Serie A,€300k,41,€275k,40,€-25k
