,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Bayern Munich,Bundesliga,€90.75m,10,€33.00m,10,€-57.75m
1,VfL Wolfsburg,Bundesliga,€68.10m,13,€111.30m,12,€43.20m
2,Bayer 04 Leverkusen,Bundesliga,€60.00m,23,€63.25m,18,€3.25m
3,Borussia Mönchengladbach,Bundesliga,€38.00m,11,€15.70m,10,€-22.30m
4,FC Schalke 04,Bundesliga,€37.10m,16,€57.20m,17,€20.10m
5,TSG 1899 Hoffenheim,Bundesliga,€23.40m,30,€57.15m,29,€33.75m
6,Hamburger SV,Bundesliga,€21.85m,19,€15.20m,19,€-6.65m
7,Borussia Dortmund,Bundesliga,€20.00m,12,€42.55m,16,€22.55m
8,Hannover 96,Bundesliga,€18.40m,21,€13.50m,18,€-4.90m
9,FC Augsburg,Bundesliga,€16.70m,14,€26.90m,10,€10.20m
10,VfB Stuttgart,Bundesliga,€15.67m,19,€20.55m,19,€4.88m
11,1.FC Köln,Bundesliga,€14.78m,12,€13.05m,15,€-1.73m
12,1.FSV Mainz 05,Bundesliga,€13.85m,23,€34.20m,23,€20.35m
13,SV Werder Bremen,Bundesliga,€12.88m,23,€19.45m,16,€6.57m
14,Eintracht Frankfurt,Bundesliga,€11.82m,15,€12.10m,13,€280k
15,Hertha BSC,Bundesliga,€7.30m,13,€4.92m,11,€-2.38m
16,FC Ingolstadt 04,Bundesliga,€6.20m,6,-,9,€-6.20m
17,SV Darmstadt 98,Bundesliga,€1.10m,16,-,11,€-1.10m
