,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Borussia Dortmund,Bundesliga,€141.10m,12,€111.00m,8,€-30.10m
1,RB Leipzig,Bundesliga,€95.95m,12,€100k,14,€-95.85m
2,VfL Wolfsburg,Bundesliga,€81.05m,20,€94.45m,19,€13.40m
3,Bayern Munich,Bundesliga,€70.00m,5,€52.30m,8,€-17.70m
4,Bayer 04 Leverkusen,Bundesliga,€63.30m,19,€23.70m,19,€-39.60m
5,Hamburger SV,Bundesliga,€43.95m,18,€8.75m,17,€-35.20m
6,FC Schalke 04,Bundesliga,€43.30m,19,€61.30m,15,€18.00m
7,Borussia Mönchengladbach,Bundesliga,€41.25m,14,€45.10m,10,€3.85m
8,1.FSV Mainz 05,Bundesliga,€29.21m,16,€25.70m,16,€-3.51m
9,TSG 1899 Hoffenheim,Bundesliga,€27.44m,24,€37.00m,25,€9.56m
10,SV Werder Bremen,Bundesliga,€23.70m,18,€27.20m,21,€3.50m
11,FC Augsburg,Bundesliga,€23.70m,13,€15.05m,18,€-8.65m
12,SC Freiburg,Bundesliga,€16.78m,15,€5.15m,19,€-11.63m
13,1.FC Köln,Bundesliga,€8.35m,11,€19.00m,8,€10.65m
14,FC Ingolstadt 04,Bundesliga,€7.95m,10,€4.55m,10,€-3.40m
15,Hertha BSC,Bundesliga,€6.70m,7,€5.00m,10,€-1.70m
16,SV Darmstadt 98,Bundesliga,€4.10m,24,€5.20m,24,€1.10m
17,Eintracht Frankfurt,Bundesliga,€3.80m,16,€12.05m,16,€8.25m
