,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Bayern Munich,Bundesliga,€70.30m,10,€500k,7,€-69.80m
1,Borussia Mönchengladbach,Bundesliga,€33.40m,13,€24.05m,12,€-9.35m
2,VfL Wolfsburg,Bundesliga,€27.10m,21,€21.85m,28,€-5.25m
3,Hamburger SV,Bundesliga,€27.00m,12,€9.60m,17,€-17.40m
4,Borussia Dortmund,Bundesliga,€26.65m,12,€34.00m,12,€7.35m
5,TSG 1899 Hoffenheim,Bundesliga,€26.30m,28,€20.25m,21,€-6.05m
6,Bayer 04 Leverkusen,Bundesliga,€20.90m,19,€14.68m,18,€-6.22m
7,SV Werder Bremen,Bundesliga,€14.73m,13,€13.10m,15,€-1.63m
8,Hannover 96,Bundesliga,€9.55m,12,€3.17m,11,€-6.38m
9,Eintracht Frankfurt,Bundesliga,€8.15m,21,€3.00m,19,€-5.15m
10,FC Schalke 04,Bundesliga,€6.50m,18,€6.85m,21,€350k
11,1.FSV Mainz 05,Bundesliga,€4.18m,10,€5.95m,13,€1.77m
12,SpVgg Greuther Fürth,Bundesliga,€3.85m,22,€2.34m,17,€-1.51m
13,Fortuna Düsseldorf,Bundesliga,€3.05m,24,-,20,€-3.05m
14,FC Augsburg,Bundesliga,€2.85m,16,€150k,17,€-2.70m
15,1.FC Nuremberg,Bundesliga,€2.70m,13,€7.00m,15,€4.30m
16,VfB Stuttgart,Bundesliga,€2.40m,12,€9.70m,7,€7.30m
17,SC Freiburg,Bundesliga,€1.50m,9,€200k,10,€-1.30m
