,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Bayern Munich,Bundesliga,€52.10m,8,€5.00m,5,€-47.10m
1,VfL Wolfsburg,Bundesliga,€48.80m,27,€12.13m,19,€-36.68m
2,Bayer 04 Leverkusen,Bundesliga,€26.11m,16,€16.06m,15,€-10.05m
3,Hamburger SV,Bundesliga,€13.90m,20,€17.35m,18,€3.45m
4,VfB Stuttgart,Bundesliga,€11.10m,10,€18.40m,12,€7.30m
5,1.FSV Mainz 05,Bundesliga,€10.90m,21,€17.95m,16,€7.05m
6,Borussia Dortmund,Bundesliga,€9.73m,8,€12.14m,11,€2.42m
7,SV Werder Bremen,Bundesliga,€8.80m,17,€20.25m,19,€11.45m
8,FC Schalke 04,Bundesliga,€7.60m,13,€34.08m,16,€26.48m
9,1.FC Kaiserslautern,Bundesliga,€6.63m,14,€4.45m,16,€-2.18m
10,TSG 1899 Hoffenheim,Bundesliga,€5.90m,16,€7.50m,14,€1.60m
11,1.FC Köln,Bundesliga,€5.88m,16,€2.88m,20,€-3.00m
12,Hannover 96,Bundesliga,€4.20m,9,-,7,€-4.20m
13,1.FC Nuremberg,Bundesliga,€4.15m,16,€5.50m,16,€1.35m
14,SC Freiburg,Bundesliga,€3.50m,16,€15.30m,16,€11.80m
15,Borussia Mönchengladbach,Bundesliga,€2.65m,17,€3.83m,21,€1.18m
16,Hertha BSC,Bundesliga,€1.40m,13,€1.00m,10,€-400k
17,FC Augsburg,Bundesliga,€1.18m,13,€260k,12,€-915k
