,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Borussia Dortmund,Bundesliga,€65.20m,9,€4.80m,8,€-60.40m
1,Bayern Munich,Bundesliga,€53.40m,9,€48.70m,10,€-4.70m
2,VfL Wolfsburg,Bundesliga,€45.05m,15,€6.25m,13,€-38.80m
3,Bayer 04 Leverkusen,Bundesliga,€39.31m,20,€18.35m,25,€-20.96m
4,Hamburger SV,Bundesliga,€35.80m,20,€23.90m,19,€-11.90m
5,TSG 1899 Hoffenheim,Bundesliga,€19.20m,20,€14.42m,26,€-4.78m
6,Hertha BSC,Bundesliga,€14.50m,14,€19.45m,12,€4.95m
7,SC Freiburg,Bundesliga,€14.35m,15,€18.60m,17,€4.25m
8,Borussia Mönchengladbach,Bundesliga,€12.75m,10,€17.90m,9,€5.15m
9,FC Augsburg,Bundesliga,€12.45m,15,€6.90m,14,€-5.55m
10,Hannover 96,Bundesliga,€10.80m,20,€3.50m,18,€-7.30m
11,VfB Stuttgart,Bundesliga,€10.80m,13,€750k,10,€-10.05m
12,1.FSV Mainz 05,Bundesliga,€9.12m,19,€6.60m,17,€-2.52m
13,1.FC Köln,Bundesliga,€8.40m,12,€100k,15,€-8.30m
14,SV Werder Bremen,Bundesliga,€6.55m,16,€3.35m,19,€-3.20m
15,Eintracht Frankfurt,Bundesliga,€6.50m,16,€5.93m,19,€-575k
16,FC Schalke 04,Bundesliga,€4.40m,14,€8.60m,11,€4.20m
17,SC Paderborn 07,Bundesliga,€1.95m,13,-,12,€-1.95m
