,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Bayern Munich,Bundesliga,€62.00m,8,€40.00m,7,€-22.00m
1,Borussia Dortmund,Bundesliga,€52.60m,13,€47.38m,11,€-5.23m
2,VfL Wolfsburg,Bundesliga,€50.60m,28,€16.05m,30,€-34.55m
3,FC Schalke 04,Bundesliga,€26.05m,13,€8.10m,14,€-17.95m
4,Bayer 04 Leverkusen,Bundesliga,€24.98m,18,€35.57m,16,€10.60m
5,1.FSV Mainz 05,Bundesliga,€14.20m,14,€11.55m,14,€-2.65m
6,Hannover 96,Bundesliga,€10.50m,16,€4.70m,18,€-5.80m
7,SV Werder Bremen,Bundesliga,€10.25m,10,€13.60m,12,€3.35m
8,TSG 1899 Hoffenheim,Bundesliga,€9.90m,23,€4.00m,25,€-5.90m
9,Borussia Mönchengladbach,Bundesliga,€7.90m,9,€3.25m,9,€-4.65m
10,Eintracht Frankfurt,Bundesliga,€7.48m,14,€500k,11,€-6.98m
11,1.FC Nuremberg,Bundesliga,€7.32m,18,€6.75m,17,€-570k
12,VfB Stuttgart,Bundesliga,€7.20m,14,€7.20m,19,+-0
13,SC Freiburg,Bundesliga,€6.93m,16,€12.20m,14,€5.27m
14,FC Augsburg,Bundesliga,€4.55m,15,€600k,14,€-3.95m
15,Hamburger SV,Bundesliga,€2.35m,12,€13.75m,10,€11.40m
16,Eintracht Braunschweig,Bundesliga,€1.80m,10,-,10,€-1.80m
17,Hertha BSC,Bundesliga,€1.30m,10,€350k,12,€-950k
