,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Bayern Munich,Bundesliga,€75.70m,13,€22.95m,12,€-52.75m
1,Hamburger SV,Bundesliga,€30.45m,18,€8.50m,18,€-21.95m
2,VfL Wolfsburg,Bundesliga,€27.30m,14,€3.40m,15,€-23.90m
3,VfB Stuttgart,Bundesliga,€18.10m,11,€30.95m,9,€12.85m
4,TSG 1899 Hoffenheim,Bundesliga,€16.25m,12,€225k,8,€-16.03m
5,SV Werder Bremen,Bundesliga,€13.00m,17,€32.38m,15,€19.38m
6,1.FC Köln,Bundesliga,€11.50m,11,€900k,9,€-10.60m
7,Borussia Dortmund,Bundesliga,€10.90m,14,€6.35m,8,€-4.55m
8,Borussia Mönchengladbach,Bundesliga,€10.50m,11,€8.40m,11,€-2.10m
9,FC Schalke 04,Bundesliga,€8.50m,23,€4.80m,10,€-3.70m
10,Bayer 04 Leverkusen,Bundesliga,€6.55m,14,€1.60m,16,€-4.95m
11,Hertha BSC,Bundesliga,€4.51m,14,€8.55m,17,€4.04m
12,1.FSV Mainz 05,Bundesliga,€3.60m,13,€200k,12,€-3.40m
13,SC Freiburg,Bundesliga,€3.15m,12,€445k,10,€-2.71m
14,VfL Bochum,Bundesliga,€2.10m,10,€250k,11,€-1.85m
15,Hannover 96,Bundesliga,€2.05m,12,€800k,7,€-1.25m
16,Eintracht Frankfurt,Bundesliga,€1.25m,13,€600k,10,€-650k
17,1.FC Nuremberg,Bundesliga,€450k,12,€2.35m,12,€1.90m
