,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Hamburger SV,Bundesliga,€34.45m,15,€45.20m,14,€10.75m
1,VfL Wolfsburg,Bundesliga,€33.10m,19,€4.53m,22,€-28.57m
2,FC Schalke 04,Bundesliga,€15.75m,8,€9.00m,11,€-6.75m
3,Borussia Dortmund,Bundesliga,€13.75m,13,€12.30m,17,€-1.45m
4,TSG 1899 Hoffenheim,Bundesliga,€11.95m,10,€125k,16,€-11.83m
5,Borussia Mönchengladbach,Bundesliga,€11.55m,13,€670k,11,€-10.88m
6,Bayer 04 Leverkusen,Bundesliga,€10.25m,16,€4.00m,12,€-6.25m
7,VfB Stuttgart,Bundesliga,€9.60m,14,€13.10m,14,€3.50m
8,1.FC Köln,Bundesliga,€7.15m,13,€750k,13,€-6.40m
9,Eintracht Frankfurt,Bundesliga,€6.65m,8,€1.02m,6,€-5.63m
10,Hannover 96,Bundesliga,€6.40m,12,€3.14m,9,€-3.27m
11,Hertha BSC,Bundesliga,€6.40m,17,€2.90m,12,€-3.50m
12,SV Werder Bremen,Bundesliga,€5.80m,10,€3.40m,9,€-2.40m
13,VfL Bochum,Bundesliga,€4.75m,10,€8k,12,€-4.74m
14,Arminia Bielefeld,Bundesliga,€3.20m,14,€1.83m,17,€-1.38m
15,FC Energie Cottbus,Bundesliga,€2.60m,16,€720k,15,€-1.88m
16,Karlsruher SC,Bundesliga,€1.90m,7,€2.90m,4,€1.00m
17,Bayern Munich,Bundesliga,-,7,€10.90m,11,€10.90m
