,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,FC Porto,Liga Portugal,€49.19m,37,€46.80m,38,€-2.39m
1,Sporting CP,Liga Portugal,€34.00m,38,€6.63m,38,€-27.37m
2,SL Benfica,Liga Portugal,€30.96m,51,€41.19m,52,€10.23m
3,SC Braga,Liga Portugal,€5.29m,45,€24.24m,42,€18.95m
4,Vitória Guimarães SC,Liga Portugal,€1.20m,31,€1.08m,36,€-120k
5,CD Nacional,Liga Portugal,€750k,21,€2.60m,23,€1.85m
6,FC Paços de Ferreira,Liga Portugal,€200k,35,€750k,39,€550k
7,SC Olhanense,Liga Portugal,€100k,24,-,22,€-100k
8,Vitória Setúbal FC,Liga Portugal,-,22,€380k,25,€380k
9,CS Marítimo,Liga Portugal,-,20,€4.00m,22,€4.00m
10,SC Beira-Mar,Liga Portugal,-,33,€1.65m,31,€1.65m
11,Gil Vicente FC,Liga Portugal,-,19,€1.20m,18,€1.20m
12,Rio Ave FC,Liga Portugal,-,20,€2.50m,22,€2.50m
13,União de Leiria,Liga Portugal,-,33,€800k,31,€800k
14,Académica Coimbra,Liga Portugal,-,32,€1.95m,30,€1.95m
15,CD Feirense,Liga Portugal,-,21,€125k,19,€125k
