,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,FC Porto,Liga Portugal,€53.25m,30,€95.96m,27,€42.71m
1,SL Benfica,Liga Portugal,€38.65m,37,€104.65m,34,€66.00m
2,SC Braga,Liga Portugal,€17.90m,27,€50k,28,€-17.85m
3,Sporting CP,Liga Portugal,€10.99m,17,€31.30m,17,€20.32m
4,CS Marítimo,Liga Portugal,€475k,16,€4.00m,13,€3.53m
5,Rio Ave FC,Liga Portugal,€200k,27,-,26,€-200k
6,Vitória Guimarães SC,Liga Portugal,€142k,19,€7.10m,17,€6.96m
7,Moreirense FC,Liga Portugal,-,27,€700k,25,€700k
8,CD Nacional,Liga Portugal,-,25,€4.99m,27,€4.99m
9,Vitória Setúbal FC,Liga Portugal,-,29,€1.00m,30,€1.00m
10,Estoril Praia,Liga Portugal,-,27,€6.53m,25,€6.53m
11,Gil Vicente FC,Liga Portugal,-,24,-,28,+-0
12,Boavista FC,Liga Portugal,-,29,-,25,+-0
13,Académica Coimbra,Liga Portugal,-,22,-,16,+-0
14,FC Paços de Ferreira,Liga Portugal,-,28,-,28,+-0
15,FC Penafiel,Liga Portugal,-,20,-,20,+-0
16,FC Arouca,Liga Portugal,-,13,-,13,+-0
17,CF Os Belenenses,Liga Portugal,-,35,€400k,36,€400k
