,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,SL Benfica,Liga Portugal,€39.13m,47,€86.08m,46,€46.96m
1,FC Porto,Liga Portugal,€31.75m,44,€38.78m,45,€7.03m
2,Sporting CP,Liga Portugal,€12.80m,33,€22.30m,31,€9.50m
3,CD Nacional,Liga Portugal,€1.40m,22,-,21,€-1.40m
4,Vitória Guimarães SC,Liga Portugal,€1.05m,39,€10.60m,36,€9.55m
5,SC Braga,Liga Portugal,€825k,47,€8.50m,48,€7.68m
6,SC Olhanense,Liga Portugal,€250k,31,€200k,31,€-50k
7,FC Paços de Ferreira,Liga Portugal,€65k,23,-,22,€-65k
8,Vitória Setúbal FC,Liga Portugal,-,31,-,30,+-0
9,CS Marítimo,Liga Portugal,-,26,€100k,27,€100k
10,SC Beira-Mar,Liga Portugal,-,22,-,23,+-0
11,Rio Ave FC,Liga Portugal,-,22,€2.30m,22,€2.30m
12,União de Leiria,Liga Portugal,-,28,€2.90m,27,€2.90m
13,Académica Coimbra,Liga Portugal,-,27,€400k,27,€400k
14,Naval 1º de Maio,Liga Portugal,-,18,€1.50m,19,€1.50m
15,Portimonense SC,Liga Portugal,-,28,-,28,+-0
