,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,SL Benfica,Liga Portugal,€29.00m,39,€75.73m,39,€46.73m
1,FC Porto,Liga Portugal,€13.07m,25,€73.84m,26,€60.77m
2,Sporting CP,Liga Portugal,€10.65m,32,€15.24m,37,€4.59m
3,Rio Ave FC,Liga Portugal,€3.10m,32,€1.20m,33,€-1.90m
4,SC Braga,Liga Portugal,€850k,30,€8.50m,31,€7.65m
5,Moreirense FC,Liga Portugal,€185k,20,-,21,€-185k
6,CD Nacional,Liga Portugal,€40k,22,€4.27m,23,€4.23m
7,Vitória Setúbal FC,Liga Portugal,-,23,-,22,+-0
8,CS Marítimo,Liga Portugal,-,15,€1.60m,9,€1.60m
9,SC Beira-Mar,Liga Portugal,-,23,€1.25m,22,€1.25m
10,Estoril Praia,Liga Portugal,-,19,-,21,+-0
11,Vitória Guimarães SC,Liga Portugal,-,22,€300k,24,€300k
12,Gil Vicente FC,Liga Portugal,-,30,-,27,+-0
13,Académica Coimbra,Liga Portugal,-,24,-,26,+-0
14,FC Paços de Ferreira,Liga Portugal,-,24,€2.00m,22,€2.00m
15,SC Olhanense,Liga Portugal,-,21,€2.20m,23,€2.20m
