,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,SL Benfica,Liga Portugal,€43.77m,38,€124.75m,41,€80.98m
1,FC Porto,Liga Portugal,€40.65m,34,€15.06m,36,€-25.59m
2,Sporting CP,Liga Portugal,€34.80m,28,€87.23m,32,€52.43m
3,SC Braga,Liga Portugal,€8.07m,34,€36.27m,32,€28.21m
4,Vitória Guimarães SC,Liga Portugal,€1.00m,21,€11.05m,27,€10.05m
5,Estoril Praia,Liga Portugal,€280k,34,€8.30m,35,€8.02m
6,CD Nacional,Liga Portugal,€100k,26,€3.90m,26,€3.80m
7,GD Chaves,Liga Portugal,€50k,33,€2.27m,33,€2.22m
8,Moreirense FC,Liga Portugal,-,25,-,25,+-0
9,Vitória Setúbal FC,Liga Portugal,-,25,€500k,26,€500k
10,CS Marítimo,Liga Portugal,-,25,-,23,+-0
11,Rio Ave FC,Liga Portugal,-,25,€3.23m,21,€3.23m
12,Boavista FC,Liga Portugal,-,31,€1.77m,35,€1.77m
13,FC Paços de Ferreira,Liga Portugal,-,24,€7.00m,18,€7.00m
14,CD Feirense,Liga Portugal,-,30,-,31,+-0
15,CD Tondela,Liga Portugal,-,24,-,25,+-0
16,FC Arouca,Liga Portugal,-,21,€1.10m,19,€1.10m
17,CF Os Belenenses,Liga Portugal,-,45,€1.55m,44,€1.55m
