,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,FC Porto,Liga Portugal,€52.00m,35,€148.15m,39,€96.15m
1,SL Benfica,Liga Portugal,€35.35m,35,€104.30m,35,€68.95m
2,Sporting CP,Liga Portugal,€9.77m,28,€19.02m,22,€9.25m
3,SC Braga,Liga Portugal,€4.20m,30,€28.33m,27,€24.13m
4,Vitória Guimarães SC,Liga Portugal,€2.25m,20,€7.50m,15,€5.25m
5,Rio Ave FC,Liga Portugal,€910k,27,€7.80m,28,€6.89m
6,Estoril Praia,Liga Portugal,€400k,28,€3.05m,26,€2.65m
7,CF Os Belenenses,Liga Portugal,€250k,38,€1.80m,40,€1.55m
8,CF União Madeira (-2021),Liga Portugal,-,27,-,25,+-0
9,Moreirense FC,Liga Portugal,-,26,€200k,27,€200k
10,CD Nacional,Liga Portugal,-,25,€5.88m,24,€5.88m
11,Vitória Setúbal FC,Liga Portugal,-,32,€1.50m,32,€1.50m
12,CS Marítimo,Liga Portugal,-,19,€11.00m,17,€11.00m
13,Boavista FC,Liga Portugal,-,35,€1.48m,33,€1.48m
14,Académica Coimbra,Liga Portugal,-,15,-,15,+-0
15,FC Paços de Ferreira,Liga Portugal,-,24,€3.25m,24,€3.25m
16,CD Tondela,Liga Portugal,-,26,-,25,+-0
17,FC Arouca,Liga Portugal,-,24,€700k,23,€700k
