,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,SL Benfica,Liga Portugal,€38.30m,45,€6.83m,43,€-31.47m
1,FC Porto,Liga Portugal,€31.73m,55,€72.89m,56,€41.16m
2,Sporting CP,Liga Portugal,€15.47m,29,€100k,29,€-15.37m
3,CD Nacional,Liga Portugal,€800k,20,€7.50m,21,€6.70m
4,Vitória Setúbal FC,Liga Portugal,€600k,36,€105k,39,€-495k
5,SC Braga,Liga Portugal,€550k,42,€9.40m,41,€8.85m
6,Vitória Guimarães SC,Liga Portugal,€550k,22,€800k,22,€250k
7,União de Leiria,Liga Portugal,€350k,25,-,25,€-350k
8,Leixões SC,Liga Portugal,€50k,24,€900k,22,€850k
9,CS Marítimo,Liga Portugal,-,19,€200k,24,€200k
10,Rio Ave FC,Liga Portugal,-,20,€600k,21,€600k
11,Académica Coimbra,Liga Portugal,-,22,€200k,18,€200k
12,FC Paços de Ferreira,Liga Portugal,-,30,€200k,33,€200k
13,SC Olhanense,Liga Portugal,-,24,€50k,21,€50k
14,Naval 1º de Maio,Liga Portugal,-,11,€700k,11,€700k
15,CF Os Belenenses,Liga Portugal,-,30,€500k,29,€500k
