,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,FC Porto,Liga Portugal,€46.65m,43,€55.00m,47,€8.35m
1,SL Benfica,Liga Portugal,€26.01m,32,€7.60m,31,€-18.41m
2,Sporting CP,Liga Portugal,€9.65m,27,-,28,€-9.65m
3,SC Braga,Liga Portugal,€2.03m,32,-,30,€-2.03m
4,Vitória Guimarães SC,Liga Portugal,€725k,15,€5.55m,16,€4.83m
5,CD Nacional,Liga Portugal,€680k,22,€2.00m,18,€1.32m
6,Académica Coimbra,Liga Portugal,€620k,19,€2.23m,19,€1.61m
7,CF Os Belenenses,Liga Portugal,€554k,36,€2.35m,33,€1.80m
8,Leixões SC,Liga Portugal,€100k,25,€2.57m,25,€2.47m
9,Vitória Setúbal FC,Liga Portugal,-,21,€650k,16,€650k
10,CS Marítimo,Liga Portugal,-,22,-,20,+-0
11,Rio Ave FC,Liga Portugal,-,17,€350k,13,€350k
12,Clube Futebol Estrela da Amadora,Liga Portugal,-,18,€800k,17,€800k
13,FC Paços de Ferreira,Liga Portugal,-,23,€1.80m,21,€1.80m
14,CD Trofense,Liga Portugal,-,25,-,24,+-0
15,Naval 1º de Maio,Liga Portugal,-,20,€550k,19,€550k
