,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Paris Saint-Germain,Ligue 1,€116.10m,9,€22.90m,11,€-93.20m
1,AS Monaco,Ligue 1,€101.00m,30,€175.40m,29,€74.40m
2,Olympique Lyon,Ligue 1,€41.10m,11,€26.80m,13,€-14.30m
3,AS Saint-Étienne,Ligue 1,€20.30m,16,€23.20m,13,€2.90m
4,Olympique Marseille,Ligue 1,€19.75m,23,€54.45m,18,€34.70m
5,LOSC Lille,Ligue 1,€12.90m,23,€35.25m,18,€22.35m
6,FC Girondins Bordeaux,Ligue 1,€11.00m,13,€22.30m,12,€11.30m
7,FC Lorient,Ligue 1,€9.93m,13,€18.50m,14,€8.58m
8,FC Nantes,Ligue 1,€7.00m,14,€17.55m,14,€10.55m
9,SM Caen,Ligue 1,€6.05m,21,€14.00m,16,€7.95m
10,Stade Rennais FC,Ligue 1,€5.64m,18,€10.60m,19,€4.96m
11,OGC Nice,Ligue 1,€4.10m,22,€14.00m,20,€9.90m
12,FC Toulouse,Ligue 1,€2.90m,10,€10.50m,13,€7.60m
13,Montpellier HSC,Ligue 1,€2.73m,11,€4.00m,8,€1.28m
14,Stade Reims,Ligue 1,€2.40m,13,€1.50m,10,€-900k
15,EA Guingamp,Ligue 1,€1.95m,15,€6.00m,13,€4.05m
16,ESTAC Troyes,Ligue 1,€300k,17,€7.30m,17,€7.00m
17,SC Bastia,Ligue 1,-,13,€1.70m,17,€1.70m
18,Angers SCO,Ligue 1,-,23,€5.90m,21,€5.90m
19,GFC Ajaccio,Ligue 1,-,9,-,10,+-0
