,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Paris Saint-Germain,Ligue 1,€134.50m,16,€59.80m,15,€-74.70m
1,Olympique Marseille,Ligue 1,€53.00m,26,€81.49m,25,€28.49m
2,AS Monaco,Ligue 1,€50.50m,25,€18.45m,29,€-32.05m
3,Olympique Lyon,Ligue 1,€28.60m,12,€27.30m,13,€-1.30m
4,LOSC Lille,Ligue 1,€20.70m,21,€47.00m,25,€26.30m
5,OGC Nice,Ligue 1,€15.25m,21,€15.80m,19,€550k
6,FC Toulouse,Ligue 1,€13.00m,19,€10.00m,15,€-3.00m
7,FC Girondins Bordeaux,Ligue 1,€11.85m,12,€2.60m,15,€-9.25m
8,FC Lorient,Ligue 1,€8.60m,23,€32.15m,18,€23.55m
9,AS Saint-Étienne,Ligue 1,€7.00m,15,€2.25m,15,€-4.75m
10,Montpellier HSC,Ligue 1,€6.40m,13,€19.40m,16,€13.00m
11,Angers SCO,Ligue 1,€5.20m,22,€4.40m,20,€-800k
12,FC Nantes,Ligue 1,€5.00m,13,€2.65m,12,€-2.36m
13,SM Caen,Ligue 1,€4.25m,11,€11.00m,11,€6.75m
14,Dijon FCO,Ligue 1,€3.15m,14,€1.25m,15,€-1.90m
15,AS Nancy-Lorraine,Ligue 1,€2.30m,14,€10.90m,9,€8.60m
16,Stade Rennais FC,Ligue 1,€2.27m,23,€55.30m,21,€53.03m
17,FC Metz,Ligue 1,€400k,26,€775k,28,€375k
18,SC Bastia,Ligue 1,€250k,17,€7.00m,18,€6.75m
19,EA Guingamp,Ligue 1,-,15,€2.50m,17,€2.50m
