,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Paris Saint-Germain,Ligue 1,€49.50m,9,€2.20m,8,€-47.30m
1,AS Monaco,Ligue 1,€39.75m,26,€89.40m,28,€49.65m
2,Olympique Marseille,Ligue 1,€20.50m,16,€17.50m,16,€-3.00m
3,Stade Rennais FC,Ligue 1,€15.14m,23,€20.50m,21,€5.37m
4,FC Lorient,Ligue 1,€8.45m,18,€19.20m,20,€10.75m
5,LOSC Lille,Ligue 1,€7.80m,13,€19.73m,11,€11.93m
6,FC Girondins Bordeaux,Ligue 1,€7.70m,18,€4.50m,14,€-3.20m
7,Olympique Lyon,Ligue 1,€5.65m,7,€1.50m,9,€-4.15m
8,FC Metz,Ligue 1,€4.00m,19,€7.65m,18,€3.65m
9,AS Saint-Étienne,Ligue 1,€4.00m,9,-,11,€-4.00m
10,Montpellier HSC,Ligue 1,€4.00m,12,€15.90m,13,€11.90m
11,FC Toulouse,Ligue 1,€3.00m,11,€13.70m,9,€10.70m
12,EA Guingamp,Ligue 1,€2.56m,12,€2.50m,11,€-60k
13,FC Évian Thonon Gaillard,Ligue 1,€2.25m,17,€3.00m,15,€750k
14,OGC Nice,Ligue 1,€1.30m,11,€7.40m,15,€6.10m
15,SM Caen,Ligue 1,€800k,13,-,12,€-800k
16,FC Nantes,Ligue 1,€420k,10,-,11,€-420k
17,SC Bastia,Ligue 1,€100k,28,€2.00m,20,€1.90m
18,RC Lens,Ligue 1,-,6,€3.00m,10,€3.00m
19,Stade Reims,Ligue 1,-,10,€5.50m,11,€5.50m
