,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Olympique Lyon,Ligue 1,€57.80m,16,€34.00m,14,€-23.80m
1,Olympique Marseille,Ligue 1,€36.12m,23,€23.65m,27,€-12.47m
2,OGC Nice,Ligue 1,€20.25m,14,€35.90m,14,€15.65m
3,LOSC Lille,Ligue 1,€18.50m,13,€20.30m,17,€1.80m
4,Le Mans Union Club 72,Ligue 1,€14.30m,12,€26.40m,17,€12.10m
5,Stade Rennais FC,Ligue 1,€14.00m,16,€11.95m,14,€-2.05m
6,Paris Saint-Germain,Ligue 1,€10.50m,15,€21.75m,16,€11.25m
7,AS Nancy-Lorraine,Ligue 1,€10.50m,13,€15.40m,16,€4.90m
8,FC Toulouse,Ligue 1,€9.80m,17,€22.70m,20,€12.90m
9,AS Saint-Étienne,Ligue 1,€9.50m,18,€11.00m,13,€1.50m
10,FC Nantes,Ligue 1,€8.60m,18,€6.60m,20,€-2.00m
11,AJ Auxerre,Ligue 1,€8.40m,13,€3.40m,11,€-5.00m
12,FC Girondins Bordeaux,Ligue 1,€7.90m,11,€2.50m,14,€-5.40m
13,Valenciennes FC,Ligue 1,€7.80m,12,€10.20m,14,€2.40m
14,SM Caen,Ligue 1,€7.64m,13,€7.82m,12,€175k
15,FC Sochaux-Montbéliard,Ligue 1,€6.55m,17,€5.80m,19,€-750k
16,AS Monaco,Ligue 1,€5.20m,24,€22.65m,20,€17.45m
17,FC Lorient,Ligue 1,€3.00m,15,-,14,€-3.00m
18,Grenoble Foot 38,Ligue 1,€1.48m,15,€350k,8,€-1.13m
19,Le Havre AC,Ligue 1,€400k,19,€3.00m,18,€2.60m
