,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Paris Saint-Germain,Ligue 1,€107.10m,19,€9.40m,14,€-97.70m
1,LOSC Lille,Ligue 1,€23.40m,19,€36.90m,18,€13.50m
2,Stade Rennais FC,Ligue 1,€16.80m,10,€5.50m,13,€-11.30m
3,AS Saint-Étienne,Ligue 1,€16.10m,21,€28.86m,22,€12.76m
4,FC Toulouse,Ligue 1,€13.34m,11,€4.80m,12,€-8.54m
5,FC Lorient,Ligue 1,€11.10m,21,€16.00m,21,€4.90m
6,Olympique Marseille,Ligue 1,€11.00m,15,-,17,€-11.00m
7,OGC Nice,Ligue 1,€8.35m,19,€600k,18,€-7.75m
8,Dijon FCO,Ligue 1,€5.85m,21,-,17,€-5.85m
9,AS Nancy-Lorraine,Ligue 1,€5.35m,16,€9.60m,20,€4.25m
10,FC Sochaux-Montbéliard,Ligue 1,€5.25m,12,€11.50m,12,€6.25m
11,Olympique Lyon,Ligue 1,€4.60m,11,€22.00m,8,€17.40m
12,Valenciennes FC,Ligue 1,€4.10m,7,€4.20m,9,€100k
13,FC Girondins Bordeaux,Ligue 1,€4.00m,16,€12.50m,15,€8.50m
14,AJ Auxerre,Ligue 1,€3.75m,20,€3.50m,15,€-250k
15,Stade Brestois 29,Ligue 1,€2.50m,15,€8.00m,10,€5.50m
16,Montpellier HSC,Ligue 1,€2.00m,9,€2.00m,12,+-0
17,FC Évian Thonon Gaillard,Ligue 1,€1.85m,17,-,13,€-1.85m
18,SM Caen,Ligue 1,€300k,12,€9.00m,12,€8.70m
19,AC Ajaccio,Ligue 1,€200k,13,-,8,€-200k
