,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,AS Monaco,Ligue 1,€160.70m,26,€5.74m,28,€-154.96m
1,Paris Saint-Germain,Ligue 1,€135.90m,18,€26.50m,18,€-109.40m
2,Olympique Marseille,Ligue 1,€39.40m,13,€1.05m,15,€-38.35m
3,AS Saint-Étienne,Ligue 1,€16.60m,18,€42.95m,17,€26.35m
4,Stade Rennais FC,Ligue 1,€15.05m,21,€16.60m,22,€1.55m
5,FC Toulouse,Ligue 1,€13.55m,15,€20.70m,11,€7.15m
6,Olympique Lyon,Ligue 1,€4.00m,14,€24.50m,8,€20.50m
7,FC Girondins Bordeaux,Ligue 1,€3.50m,10,€11.00m,11,€7.50m
8,FC Nantes,Ligue 1,€3.35m,11,€500k,9,€-2.85m
9,FC Sochaux-Montbéliard,Ligue 1,€3.15m,15,€2.50m,15,€-650k
10,Stade Reims,Ligue 1,€3.13m,11,-,8,€-3.13m
11,FC Lorient,Ligue 1,€3.00m,13,€12.09m,14,€9.09m
12,LOSC Lille,Ligue 1,€2.95m,15,€42.00m,13,€39.05m
13,FC Évian Thonon Gaillard,Ligue 1,€2.60m,15,€8.50m,18,€5.90m
14,Montpellier HSC,Ligue 1,€2.50m,11,€14.50m,14,€12.00m
15,SC Bastia,Ligue 1,€1.80m,16,€2.20m,22,€400k
16,Valenciennes FC,Ligue 1,€1.39m,11,€6.00m,11,€4.61m
17,EA Guingamp,Ligue 1,€1.20m,10,€7.50m,11,€6.30m
18,OGC Nice,Ligue 1,-,11,-,9,+-0
19,AC Ajaccio,Ligue 1,-,16,-,23,+-0
