,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Olympique Lyon,Ligue 1,€82.70m,15,€53.00m,11,€-29.70m
1,Olympique Marseille,Ligue 1,€42.30m,25,€27.80m,23,€-14.50m
2,FC Girondins Bordeaux,Ligue 1,€28.50m,15,€11.00m,12,€-17.50m
3,AS Saint-Étienne,Ligue 1,€19.50m,13,€14.40m,13,€-5.10m
4,Paris Saint-Germain,Ligue 1,€15.50m,15,€6.30m,17,€-9.20m
5,Stade Rennais FC,Ligue 1,€14.60m,18,€13.80m,21,€-798k
6,AS Monaco,Ligue 1,€9.90m,19,€6.08m,20,€-3.83m
7,LOSC Lille,Ligue 1,€8.60m,14,€18.75m,17,€10.15m
8,FC Sochaux-Montbéliard,Ligue 1,€7.50m,17,€10.20m,17,€2.70m
9,FC Lorient,Ligue 1,€7.00m,17,€9.50m,19,€2.50m
10,FC Toulouse,Ligue 1,€6.00m,12,€12.45m,11,€6.45m
11,AS Nancy-Lorraine,Ligue 1,€5.70m,15,€5.60m,12,€-100k
12,Valenciennes FC,Ligue 1,€5.45m,13,€500k,9,€-4.95m
13,RC Lens,Ligue 1,€4.95m,12,€3.00m,14,€-1.95m
14,Grenoble Foot 38,Ligue 1,€3.60m,13,-,16,€-3.60m
15,OGC Nice,Ligue 1,€3.50m,12,€1.45m,11,€-2.05m
16,Le Mans Union Club 72,Ligue 1,€2.63m,18,€10.50m,12,€7.87m
17,US Boulogne,Ligue 1,€2.04m,18,€2.15m,12,€115k
18,AJ Auxerre,Ligue 1,€1.50m,13,€4.70m,14,€3.20m
19,Montpellier HSC,Ligue 1,-,10,-,8,+-0
