,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Olympique Marseille,Ligue 1,€41.50m,16,€22.60m,17,€-18.90m
1,Olympique Lyon,Ligue 1,€28.44m,7,€10.82m,11,€-17.63m
2,Stade Rennais FC,Ligue 1,€22.20m,20,€34.13m,17,€11.93m
3,FC Girondins Bordeaux,Ligue 1,€10.50m,15,€22.00m,15,€11.50m
4,AS Monaco,Ligue 1,€9.75m,28,€14.10m,27,€4.35m
5,Paris Saint-Germain,Ligue 1,€9.00m,11,€7.00m,11,€-2.00m
6,FC Lorient,Ligue 1,€6.00m,16,€12.80m,12,€6.80m
7,Montpellier HSC,Ligue 1,€4.30m,12,€14.00m,13,€9.70m
8,SM Caen,Ligue 1,€4.20m,10,-,9,€-4.20m
9,AS Saint-Étienne,Ligue 1,€3.93m,14,€5.25m,16,€1.33m
10,Stade Brestois 29,Ligue 1,€3.80m,12,-,13,€-3.80m
11,AJ Auxerre,Ligue 1,€3.50m,12,€2.43m,11,€-1.07m
12,FC Sochaux-Montbéliard,Ligue 1,€3.30m,10,€2.50m,10,€-800k
13,Valenciennes FC,Ligue 1,€1.80m,10,€8.50m,11,€6.70m
14,OGC Nice,Ligue 1,€1.70m,11,€23.00m,14,€21.30m
15,FC Toulouse,Ligue 1,-,9,€16.65m,10,€16.65m
16,RC Lens,Ligue 1,-,13,€8.32m,10,€8.32m
17,LOSC Lille,Ligue 1,-,8,€2.30m,8,€2.30m
18,AS Nancy-Lorraine,Ligue 1,-,15,€8.05m,16,€8.05m
19,AC Arles-Avignon,Ligue 1,-,23,€500k,26,€500k
