,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Manchester City,Premier League,€208.47m,22,€67.44m,25,€-141.03m
1,Manchester United,Premier League,€156.00m,21,€100.67m,20,€-55.33m
2,Liverpool FC,Premier League,€126.50m,24,€90.55m,24,€-35.95m
3,Newcastle United,Premier League,€107.91m,26,€5.43m,23,€-102.48m
4,Chelsea FC,Premier League,€96.50m,39,€87.49m,37,€-9.01m
5,Watford FC,Premier League,€82.80m,33,€9.75m,30,€-73.05m
6,Tottenham Hotspur,Premier League,€71.00m,11,€87.25m,21,€16.25m
7,Aston Villa,Premier League,€66.55m,29,€64.70m,32,€-1.85m
8,Sunderland AFC,Premier League,€66.05m,29,€11.00m,25,€-55.05m
9,Southampton FC,Premier League,€60.10m,16,€52.70m,17,€-7.40m
10,AFC Bournemouth,Premier League,€55.11m,36,€650k,33,€-54.46m
11,Stoke City,Premier League,€53.65m,13,€23.20m,14,€-30.45m
12,West Ham United,Premier League,€52.70m,25,€18.52m,26,€-34.19m
13,Norwich City,Premier League,€50.50m,33,€21.49m,30,€-29.01m
14,Leicester City,Premier League,€49.90m,25,€9.45m,32,€-40.45m
15,Everton FC,Premier League,€48.20m,18,€11.00m,17,€-37.20m
16,West Bromwich Albion,Premier League,€42.90m,12,€12.92m,13,€-29.98m
17,Crystal Palace,Premier League,€28.80m,19,€5.40m,23,€-23.40m
18,Arsenal FC,Premier League,€26.50m,15,€2.50m,12,€-24.00m
19,Swansea City,Premier League,€21.81m,20,€16.81m,24,€-5.01m
