,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Manchester City,Premier League,€147.30m,22,€29.20m,28,€-118.10m
1,Aston Villa,Premier League,€46.90m,21,€22.10m,16,€-24.80m
2,Liverpool FC,Premier League,€43.50m,21,€48.55m,26,€5.05m
3,Tottenham Hotspur,Premier League,€40.30m,32,€31.70m,31,€-8.60m
4,Sunderland AFC,Premier League,€37.00m,24,€21.28m,29,€-15.73m
5,Chelsea FC,Premier League,€30.00m,16,€3.80m,12,€-26.20m
6,Manchester United,Premier League,€27.30m,17,€104.47m,17,€77.17m
7,Stoke City,Premier League,€26.05m,23,€6.50m,23,€-19.55m
8,Everton FC,Premier League,€23.30m,15,€28.34m,15,€5.04m
9,West Ham United,Premier League,€21.65m,22,€41.30m,26,€19.65m
10,Birmingham City,Premier League,€20.05m,26,€400k,27,€-19.65m
11,Wolverhampton Wanderers,Premier League,€19.45m,33,€870k,27,€-18.58m
12,Wigan Athletic,Premier League,€18.44m,18,€25.98m,18,€7.55m
13,Hull City,Premier League,€14.85m,21,€7.10m,26,€-7.75m
14,Burnley FC,Premier League,€13.54m,33,€90k,19,€-13.45m
15,Blackburn Rovers,Premier League,€13.28m,39,€36.65m,35,€23.37m
16,Arsenal FC,Premier League,€12.00m,13,€47.70m,13,€35.70m
17,Bolton Wanderers,Premier League,€12.00m,25,€2.00m,15,€-10.00m
18,Portsmouth FC,Premier League,€10.56m,32,€52.05m,35,€41.49m
19,Fulham FC,Premier League,€7.11m,27,-,24,€-7.11m
