,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Chelsea FC,Premier League,€130.35m,38,€77.93m,36,€-52.42m
1,Tottenham Hotspur,Premier League,€122.55m,30,€138.40m,28,€15.85m
2,Manchester City,Premier League,€115.50m,16,€11.30m,18,€-104.20m
3,Manchester United,Premier League,€77.13m,18,€1.80m,20,€-75.33m
4,Liverpool FC,Premier League,€58.10m,18,€32.50m,23,€-25.60m
5,Arsenal FC,Premier League,€49.25m,21,€12.15m,22,€-37.10m
6,Cardiff City,Premier League,€45.82m,32,€3.74m,29,€-42.08m
7,Southampton FC,Premier League,€39.60m,15,€4.20m,23,€-35.40m
8,Sunderland AFC,Premier League,€33.91m,36,€22.38m,33,€-11.53m
9,Crystal Palace,Premier League,€33.00m,42,-,32,€-33.00m
10,Everton FC,Premier League,€31.80m,19,€46.10m,19,€14.30m
11,Hull City,Premier League,€31.10m,32,€880k,32,€-30.22m
12,Norwich City,Premier League,€30.05m,21,€4.84m,21,€-25.22m
13,Fulham FC,Premier League,€29.30m,33,€4.15m,29,€-25.15m
14,Swansea City,Premier League,€26.61m,24,-,17,€-26.61m
15,West Ham United,Premier League,€24.00m,24,€530k,19,€-23.47m
16,Aston Villa,Premier League,€19.84m,33,€8.10m,29,€-11.74m
17,West Bromwich Albion,Premier League,€15.70m,16,€11.40m,16,€-4.30m
18,Stoke City,Premier League,€7.00m,20,-,20,€-7.00m
19,Newcastle United,Premier League,€3.80m,14,€25.87m,17,€22.07m
