,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Manchester City,Premier League,€216.25m,31,€35.35m,25,€-180.90m
1,Manchester United,Premier League,€185.00m,8,€47.25m,13,€-137.75m
2,Chelsea FC,Premier League,€132.80m,27,€108.90m,30,€-23.90m
3,Arsenal FC,Premier League,€113.00m,11,€10.35m,12,€-102.65m
4,Crystal Palace,Premier League,€101.20m,22,€50.20m,24,€-51.00m
5,Leicester City,Premier League,€92.10m,17,€66.05m,18,€-26.05m
6,Everton FC,Premier League,€86.00m,18,€60.80m,19,€-25.20m
7,Tottenham Hotspur,Premier League,€83.50m,8,€52.30m,8,€-31.20m
8,West Ham United,Premier League,€83.50m,22,€41.00m,15,€-42.50m
9,Liverpool FC,Premier League,€79.90m,21,€88.98m,19,€9.08m
10,Watford FC,Premier League,€70.45m,29,€58.10m,32,€-12.35m
11,Southampton FC,Premier League,€68.90m,12,€85.05m,9,€16.15m
12,Swansea City,Premier League,€58.10m,21,€49.30m,17,€-8.80m
13,Middlesbrough FC,Premier League,€47.95m,18,€13.50m,19,€-34.45m
14,Burnley FC,Premier League,€45.60m,27,€1.20m,26,€-44.40m
15,Stoke City,Premier League,€42.17m,14,€3.80m,13,€-38.37m
16,Sunderland AFC,Premier League,€41.90m,25,€23.77m,23,€-18.13m
17,AFC Bournemouth,Premier League,€40.69m,19,€23.69m,30,€-17.00m
18,Hull City,Premier League,€40.00m,26,€28.90m,16,€-11.10m
19,West Bromwich Albion,Premier League,€37.90m,13,€26.98m,14,€-10.93m
