,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Chelsea FC,Premier League,€109.70m,29,€25.45m,28,€-84.25m
1,Manchester United,Premier League,€76.45m,18,€9.65m,15,€-66.80m
2,Tottenham Hotspur,Premier League,€73.25m,29,€72.78m,34,€-470k
3,Liverpool FC,Premier League,€70.60m,19,€10.45m,18,€-60.15m
4,Manchester City,Premier League,€61.95m,24,€44.30m,26,€-17.65m
5,Arsenal FC,Premier League,€56.00m,16,€65.85m,18,€9.85m
6,Queens Park Rangers,Premier League,€50.35m,38,€4.51m,46,€-45.84m
7,Southampton FC,Premier League,€41.50m,29,-,25,€-41.50m
8,Sunderland AFC,Premier League,€38.30m,26,€14.83m,30,€-23.48m
9,Newcastle United,Premier League,€31.97m,21,€14.80m,19,€-17.17m
10,Aston Villa,Premier League,€27.83m,18,€3.20m,12,€-24.63m
11,West Ham United,Premier League,€23.90m,24,€5.05m,28,€-18.85m
12,Stoke City,Premier League,€23.68m,23,€640k,24,€-23.04m
13,Everton FC,Premier League,€21.65m,11,€18.75m,13,€-2.90m
14,Swansea City,Premier League,€20.47m,20,€32.60m,22,€12.13m
15,Norwich City,Premier League,€11.08m,28,€380k,24,€-10.70m
16,Reading FC,Premier League,€10.82m,32,€900k,27,€-9.92m
17,Wigan Athletic,Premier League,€10.54m,21,€13.25m,23,€2.72m
18,Fulham FC,Premier League,€10.00m,26,€31.42m,28,€21.42m
19,West Bromwich Albion,Premier League,€5.00m,16,€3.73m,18,€-1.28m
