,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Manchester United,Premier League,€195.35m,25,€46.70m,26,€-148.65m
1,Liverpool FC,Premier League,€151.43m,25,€99.27m,21,€-52.16m
2,Chelsea FC,Premier League,€137.70m,42,€142.81m,48,€5.11m
3,Arsenal FC,Premier League,€118.98m,18,€27.80m,22,€-91.18m
4,Manchester City,Premier League,€102.80m,14,€30.30m,16,€-72.50m
5,Southampton FC,Premier League,€96.00m,25,€123.83m,21,€27.83m
6,Tottenham Hotspur,Premier League,€48.48m,20,€44.15m,24,€-4.33m
7,Hull City,Premier League,€48.22m,30,€18.70m,28,€-29.52m
8,Newcastle United,Premier League,€45.02m,23,€23.87m,25,€-21.15m
9,Queens Park Rangers,Premier League,€43.54m,35,€26.04m,35,€-17.50m
10,Swansea City,Premier League,€41.53m,24,€61.90m,27,€20.37m
11,Everton FC,Premier League,€40.16m,18,€1.90m,15,€-38.26m
12,West Ham United,Premier League,€35.15m,25,€4.40m,26,€-30.75m
13,Crystal Palace,Premier League,€31.22m,41,€2.87m,39,€-28.35m
14,West Bromwich Albion,Premier League,€24.88m,16,€2.30m,20,€-22.58m
15,Leicester City,Premier League,€22.86m,31,-,24,€-22.86m
16,Sunderland AFC,Premier League,€22.52m,21,€7.25m,31,€-15.27m
17,Aston Villa,Premier League,€13.45m,29,€1.32m,32,€-12.14m
18,Burnley FC,Premier League,€12.62m,24,-,23,€-12.62m
19,Stoke City,Premier League,€1.80m,18,€3.80m,19,€2.00m
