,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Chelsea FC,Premier League,€96.45m,22,€31.56m,22,€-64.89m
1,Manchester City,Premier League,€91.05m,29,€31.20m,35,€-59.85m
2,Liverpool FC,Premier League,€69.33m,21,€22.00m,18,€-47.33m
3,Arsenal FC,Premier League,€65.48m,33,€78.29m,26,€12.82m
4,Manchester United,Premier League,€62.30m,15,€12.90m,18,€-49.41m
5,Sunderland AFC,Premier League,€27.92m,35,€26.33m,32,€-1.60m
6,Newcastle United,Premier League,€27.00m,27,€16.04m,26,€-10.96m
7,Queens Park Rangers,Premier League,€26.23m,46,€2.80m,41,€-23.43m
8,Stoke City,Premier League,€24.80m,26,€1.99m,26,€-22.82m
9,Blackburn Rovers,Premier League,€20.55m,25,€40.30m,28,€19.75m
10,Aston Villa,Premier League,€20.34m,20,€43.75m,25,€23.41m
11,Fulham FC,Premier League,€18.13m,21,€7.67m,17,€-10.46m
12,Bolton Wanderers,Premier League,€15.60m,24,€16.33m,21,€730k
13,Norwich City,Premier League,€15.25m,19,€500k,18,€-14.75m
14,Swansea City,Premier League,€12.85m,23,€455k,20,€-12.40m
15,Wigan Athletic,Premier League,€12.38m,23,€11.29m,15,€-1.09m
16,Wolverhampton Wanderers,Premier League,€12.05m,29,€2.60m,32,€-9.45m
17,West Bromwich Albion,Premier League,€9.14m,25,€11.12m,26,€1.98m
18,Tottenham Hotspur,Premier League,€9.00m,36,€43.25m,36,€34.25m
19,Everton FC,Premier League,€7.20m,19,€26.80m,15,€19.60m
