,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Real Madrid,LaLiga,€93.00m,7,€10.50m,6,€-82.50m
1,FC Barcelona,LaLiga,€72.50m,9,€52.70m,9,€-19.80m
2,Atlético de Madrid,LaLiga,€34.05m,10,€23.90m,12,€-10.15m
3,Valencia CF,LaLiga,€27.85m,16,€84.35m,16,€56.50m
4,Málaga CF,LaLiga,€25.04m,23,-,24,€-25.04m
5,Sevilla FC,LaLiga,€17.10m,16,€29.60m,16,€12.50m
6,RCD Espanyol Barcelona,LaLiga,€11.25m,16,€24.50m,21,€13.25m
7,Hércules CF,LaLiga,€6.21m,11,€400k,12,€-5.81m
8,Real Zaragoza,LaLiga,€4.35m,16,€2.00m,19,€-2.35m
9,Villarreal CF,LaLiga,€4.25m,18,€15.82m,14,€11.57m
10,Real Sociedad,LaLiga,€4.20m,9,-,10,€-4.20m
11,Getafe CF,LaLiga,€3.90m,10,€22.10m,10,€18.20m
12,UD Almería,LaLiga,€3.20m,12,€5.00m,14,€1.80m
13,CA Osasuna,LaLiga,€2.79m,11,€10.25m,11,€7.46m
14,Athletic Bilbao,LaLiga,€2.72m,10,-,11,€-2.72m
15,Racing Santander,LaLiga,€1.47m,15,€10.00m,16,€8.54m
16,Deportivo de La Coruña,LaLiga,€1.05m,18,€16.40m,12,€15.35m
17,Sporting Gijón,LaLiga,€800k,8,-,10,€-800k
18,RCD Mallorca,LaLiga,-,18,€6.40m,19,€6.40m
19,Levante UD,LaLiga,-,14,-,14,+-0
