,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,FC Barcelona,LaLiga,€96.00m,9,€54.59m,11,€-41.41m
1,Real Madrid,LaLiga,€82.20m,12,€71.00m,11,€-11.20m
2,Sevilla FC,LaLiga,€37.70m,14,€60.55m,15,€22.85m
3,Real Betis Balompié,LaLiga,€34.20m,14,€11.50m,13,€-22.70m
4,Atlético de Madrid,LaLiga,€26.50m,13,€3.45m,15,€-23.05m
5,Villarreal CF,LaLiga,€26.17m,16,€24.50m,17,€-1.67m
6,Getafe CF,LaLiga,€17.50m,13,€8.00m,13,€-9.50m
7,UD Almería,LaLiga,€14.50m,12,€8.00m,10,€-6.50m
8,RCD Espanyol Barcelona,LaLiga,€14.30m,12,€18.60m,13,€4.30m
9,RCD Mallorca,LaLiga,€10.23m,18,€32.40m,19,€22.17m
10,Deportivo de La Coruña,LaLiga,€9.20m,17,€20.18m,19,€10.98m
11,Valencia CF,LaLiga,€6.60m,22,€11.30m,21,€4.70m
12,CA Osasuna,LaLiga,€5.05m,14,€4.75m,14,€-300k
13,Recreativo Huelva,LaLiga,€4.99m,15,€14.30m,15,€9.31m
14,Racing Santander,LaLiga,€3.80m,16,€17.50m,19,€13.70m
15,Real Valladolid CF,LaLiga,€1.25m,13,€5.50m,13,€4.25m
16,Málaga CF,LaLiga,€1.10m,15,-,16,€-1.10m
17,Athletic Bilbao,LaLiga,€325k,10,€6.00m,12,€5.68m
18,CD Numancia,LaLiga,€300k,13,€2.00m,12,€1.70m
19,Sporting Gijón,LaLiga,€100k,8,-,10,€-100k
