,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,FC Barcelona,LaLiga,€124.75m,11,€33.80m,13,€-90.95m
1,Sevilla FC,LaLiga,€81.70m,17,€93.45m,19,€11.75m
2,Atlético de Madrid,LaLiga,€78.80m,22,€44.00m,21,€-34.80m
3,Villarreal CF,LaLiga,€55.95m,23,€67.25m,22,€11.30m
4,Valencia CF,LaLiga,€36.00m,16,€121.90m,18,€85.90m
5,Real Madrid,LaLiga,€30.00m,14,€37.50m,12,€7.50m
6,Real Sociedad,LaLiga,€21.63m,13,€11.00m,12,€-10.63m
7,Real Betis Balompié,LaLiga,€20.90m,21,€8.00m,24,€-12.90m
8,RCD Espanyol Barcelona,LaLiga,€18.40m,20,€6.00m,22,€-12.40m
9,Málaga CF,LaLiga,€13.04m,19,-,16,€-13.04m
10,Granada CF,LaLiga,€11.58m,38,€31.60m,39,€20.03m
11,SD Eibar,LaLiga,€8.60m,22,€5.00m,24,€-3.60m
12,Celta de Vigo,LaLiga,€8.40m,11,€19.80m,7,€11.40m
13,Deportivo de La Coruña,LaLiga,€7.00m,23,€20.00m,24,€13.00m
14,Deportivo Alavés,LaLiga,€6.33m,19,-,18,€-6.33m
15,CD Leganés,LaLiga,€5.45m,22,€200k,19,€-5.25m
16,UD Las Palmas,LaLiga,€2.90m,15,€200k,17,€-2.70m
17,CA Osasuna,LaLiga,€2.20m,15,€3.75m,9,€1.55m
18,Sporting Gijón,LaLiga,€1.00m,16,-,14,€-1.00m
19,Athletic Bilbao,LaLiga,-,16,-,14,+-0
