,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Real Madrid,LaLiga,€258.50m,10,€88.50m,14,€-170.00m
1,FC Barcelona,LaLiga,€113.50m,8,€24.50m,10,€-89.00m
2,Sevilla FC,LaLiga,€27.50m,11,€12.80m,11,€-14.70m
3,Villarreal CF,LaLiga,€22.90m,11,€11.75m,15,€-11.15m
4,Atlético de Madrid,LaLiga,€17.25m,15,€17.90m,15,€650k
5,Real Zaragoza,LaLiga,€14.90m,20,€10.92m,17,€-3.99m
6,Getafe CF,LaLiga,€12.25m,11,€11.40m,13,€-850k
7,Real Valladolid CF,LaLiga,€6.68m,21,€9.50m,18,€2.83m
8,Racing Santander,LaLiga,€6.50m,20,€8.50m,19,€2.00m
9,RCD Espanyol Barcelona,LaLiga,€5.80m,19,€8.15m,16,€2.35m
10,UD Almería,LaLiga,€5.20m,10,€7.50m,9,€2.30m
11,Valencia CF,LaLiga,€5.00m,16,€20.63m,18,€15.63m
12,CA Osasuna,LaLiga,€2.46m,12,€4.00m,15,€1.54m
13,Athletic Bilbao,LaLiga,€2.35m,9,-,9,€-2.35m
14,Deportivo de La Coruña,LaLiga,€2.10m,12,€2.70m,14,€600k
15,Málaga CF,LaLiga,€1.60m,22,€1.15m,19,€-450k
16,Sporting Gijón,LaLiga,€1.40m,10,€3.30m,10,€1.90m
17,CD Tenerife,LaLiga,€600k,7,-,7,€-600k
18,Xerez CD,LaLiga,€500k,12,-,15,€-500k
19,RCD Mallorca,LaLiga,€400k,15,€9.95m,14,€9.55m
