,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Valencia CF,LaLiga,€143.90m,20,€50.00m,16,€-93.90m
1,Atlético de Madrid,LaLiga,€119.00m,22,€152.00m,23,€33.00m
2,Real Madrid,LaLiga,€100.40m,12,€24.15m,12,€-76.25m
3,FC Barcelona,LaLiga,€51.00m,11,€38.30m,10,€-12.70m
4,Villarreal CF,LaLiga,€47.20m,19,€37.56m,18,€-9.64m
5,Sevilla FC,LaLiga,€44.00m,23,€61.45m,21,€17.45m
6,Real Sociedad,LaLiga,€26.10m,17,€1.00m,15,€-25.10m
7,Celta de Vigo,LaLiga,€16.30m,10,€18.50m,12,€2.20m
8,Athletic Bilbao,LaLiga,€10.00m,13,-,16,€-10.00m
9,Real Betis Balompié,LaLiga,€8.85m,22,€1.05m,18,€-7.80m
10,Málaga CF,LaLiga,€8.65m,20,€46.80m,20,€38.15m
11,Deportivo de La Coruña,LaLiga,€8.00m,18,-,20,€-8.00m
12,Levante UD,LaLiga,€6.55m,16,-,15,€-6.55m
13,UD Las Palmas,LaLiga,€6.40m,17,-,17,€-6.40m
14,RCD Espanyol Barcelona,LaLiga,€4.45m,24,€15.20m,19,€10.75m
15,Granada CF,LaLiga,€3.85m,39,€11.17m,41,€7.32m
16,SD Eibar,LaLiga,€3.70m,27,-,27,€-3.70m
17,Rayo Vallecano,LaLiga,€400k,18,-,17,€-400k
18,Getafe CF,LaLiga,€270k,14,€4.10m,12,€3.83m
19,Sporting Gijón,LaLiga,-,9,-,7,+-0
