,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,FC Barcelona,LaLiga,€166.72m,13,€81.80m,15,€-84.92m
1,Real Madrid,LaLiga,€126.00m,8,€112.10m,8,€-13.90m
2,Atlético de Madrid,LaLiga,€120.35m,25,€89.30m,25,€-31.05m
3,Valencia CF,LaLiga,€55.05m,23,€55.45m,25,€400k
4,Sevilla FC,LaLiga,€20.95m,25,€50.55m,22,€29.60m
5,Villarreal CF,LaLiga,€18.70m,14,€22.50m,15,€3.80m
6,Real Sociedad,LaLiga,€12.00m,14,€45.20m,14,€33.20m
7,Granada CF,LaLiga,€7.92m,44,€21.00m,36,€13.08m
8,Celta de Vigo,LaLiga,€3.90m,12,€1.50m,11,€-2.40m
9,RCD Espanyol Barcelona,LaLiga,€2.50m,15,€11.00m,17,€8.50m
10,Málaga CF,LaLiga,€1.50m,14,€18.99m,13,€17.49m
11,Deportivo de La Coruña,LaLiga,€1.40m,18,-,14,€-1.40m
12,Elche CF,LaLiga,€1.35m,15,€6.00m,18,€4.66m
13,Athletic Bilbao,LaLiga,€1.00m,11,€36.00m,11,€35.00m
14,Levante UD,LaLiga,€800k,14,€10.00m,14,€9.20m
15,Córdoba CF,LaLiga,€750k,25,-,22,€-750k
16,Rayo Vallecano,LaLiga,€500k,22,€650k,24,€150k
17,SD Eibar,LaLiga,€162k,21,€600k,20,€438k
18,UD Almería,LaLiga,-,16,€3.00m,17,€3.00m
19,Getafe CF,LaLiga,-,10,€8.00m,12,€8.00m
