,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Atlético de Madrid,LaLiga,€85.20m,21,€85.35m,20,€150k
1,FC Barcelona,LaLiga,€60.00m,12,€46.95m,12,€-13.05m
2,Málaga CF,LaLiga,€59.25m,16,-,16,€-59.25m
3,Real Madrid,LaLiga,€56.00m,6,€8.00m,7,€-48.00m
4,Valencia CF,LaLiga,€34.00m,15,€32.90m,15,€-1.10m
5,Villarreal CF,LaLiga,€31.30m,16,€26.85m,14,€-4.45m
6,Sevilla FC,LaLiga,€19.00m,18,€15.70m,20,€-3.30m
7,Granada CF,LaLiga,€12.19m,34,€150k,32,€-12.04m
8,Real Zaragoza,LaLiga,€11.50m,19,€15.80m,21,€4.30m
9,Athletic Bilbao,LaLiga,€7.50m,6,-,7,€-7.50m
10,RCD Espanyol Barcelona,LaLiga,€6.50m,20,€25.00m,18,€18.50m
11,RCD Mallorca,LaLiga,€3.60m,12,€9.75m,12,€6.15m
12,Real Betis Balompié,LaLiga,€3.44m,14,€4.50m,15,€1.07m
13,Getafe CF,LaLiga,€3.30m,18,€18.58m,16,€15.28m
14,CA Osasuna,LaLiga,€2.60m,15,€8.30m,15,€5.70m
15,Levante UD,LaLiga,€1.55m,16,€8.00m,20,€6.45m
16,Real Sociedad,LaLiga,€1.50m,8,-,10,€-1.50m
17,Sporting Gijón,LaLiga,€1.50m,10,€4.50m,6,€3.00m
18,Racing Santander,LaLiga,€350k,13,€2.10m,15,€1.75m
19,Rayo Vallecano,LaLiga,€340k,16,€1.80m,18,€1.46m
