,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Real Madrid,LaLiga,€38.50m,8,€33.50m,8,€-5.00m
1,FC Barcelona,LaLiga,€33.00m,7,€500k,5,€-32.50m
2,Valencia CF,LaLiga,€23.20m,10,€30.00m,14,€6.80m
3,Sevilla FC,LaLiga,€14.00m,15,€12.20m,15,€-1.80m
4,Real Sociedad,LaLiga,€14.00m,8,€500k,8,€-13.50m
5,Granada CF,LaLiga,€13.07m,42,€7.25m,43,€-5.82m
6,Getafe CF,LaLiga,€5.70m,15,€5.00m,15,€-700k
7,Celta de Vigo,LaLiga,€5.15m,13,-,10,€-5.15m
8,Atlético de Madrid,LaLiga,€4.50m,14,€21.35m,16,€16.85m
9,RCD Mallorca,LaLiga,€3.80m,16,€6.00m,13,€2.20m
10,RCD Espanyol Barcelona,LaLiga,€3.35m,14,€5.70m,17,€2.35m
11,Real Betis Balompié,LaLiga,€2.65m,15,-,15,€-2.65m
12,Athletic Bilbao,LaLiga,€2.50m,10,€40.00m,11,€37.50m
13,Real Zaragoza,LaLiga,€1.80m,24,€1.67m,19,€-126k
14,Deportivo de La Coruña,LaLiga,€750k,14,-,12,€-750k
15,Levante UD,LaLiga,€650k,21,€7.94m,20,€7.29m
16,CA Osasuna,LaLiga,€600k,18,€5.70m,16,€5.10m
17,Real Valladolid CF,LaLiga,-,9,-,14,+-0
18,Rayo Vallecano,LaLiga,-,20,€2.57m,20,€2.57m
19,Málaga CF,LaLiga,-,14,€41.60m,18,€41.60m
